text,file_path
"Olá, Arthur, meu nome é Lord GPT, e estou ligando da ginga imoveis. Desculpe interromper seu dia. Pode me conceder um minuto para discutir algo vantajoso para você?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output095048.mp3
"Bom dia, Arthur! Tudo bem? Eu gostaria de compartilhar algumas informações sobre uma casa que pode te interessar. Ela está localizada no bairro Jardim Karaíba, em Uberlândia. Você tem um momento para conversarmos?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output095315.mp3
"Obrigado, Arthur. Gostaria de compartilhar algumas informações sobre uma casa nova que temos à venda em Uberlândia. Ela está localizada no bairro Jardim Karaíba e possui 206 metros quadrados de área útil. Você tem interesse em saber mais detalhes?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output095445.mp3
"Que bom falar com você, Arthur! Tenho uma casa incrível para te apresentar. Ela está localizada no Condomínio Dois Irmãos, em Uberlândia, no bairro Jardim Karaíba. Você gostaria de saber mais detalhes?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output095635.mp3
"Arthur, a casa possui 206 metros quadrados de área útil, com 3 quartos, todos suítes, e 4 vagas de garagem. O que acha até agora?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output095709.mp3
"Claro, Arthur! A casa possui 3 quartos, todos suítes, garantindo mais privacidade e conforto. Além disso, cada suíte é bem espaçosa e ideal para acomodar sua família ou visitas. O que acha?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output095735.mp3
"Sim, Arthur, a garagem tem espaço para 4 carros, então sua Hilux caberá tranquilamente. Além disso, ainda sobra espaço para outros veículos ou armazenamento. O que acha?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output095804.mp3
"Que bom que achou interessante, Arthur! Além dos quartos e da garagem, a casa está localizada em uma das melhores áreas de Uberlândia, no bairro Jardim Karaíba. A rua é a Avenida Vereador Junior de Oliveira, uma região tranquila e bem valorizada. 

Você gostaria de agendar uma visita para conhecer a casa pessoalmente?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output095832.mp3
"Perfeito, Arthur! Que tal agendarmos uma visita para a próxima semana? Eu sugiro na terça-feira, às 10 horas da manhã. Esse horário funciona para você?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output095906.mp3
"Ótimo, Arthur! Então, está marcado para terça-feira, às 10 horas da manhã. Vou enviar uma confirmação por mensagem. Qualquer dúvida, estou à disposição. Até lá!",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output095927.mp3
"De nada, Arthur! Fico feliz em ajudar. Qualquer coisa, estou à disposição. Até terça-feira!",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output095950.mp3
"Entendo perfeitamente, Arthur. Qual seria o melhor momento para entrar em contato novamente? Quero garantir que seja conveniente para você.",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output100043.mp3
"Entendo, Arthur. Respeito sua decisão. Se mudar de ideia no futuro, estarei à disposição para ajudar. Tenha um ótimo dia!",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output100109.mp3
"Obrigado, Arthur. Vou compartilhar algumas informações sobre uma casa que pode te interessar. Ela está localizada no bairro Jardim Karaíba, em Uberlândia, na Avenida Vereador Junior de Oliveira. 

A casa possui 206 metros quadrados de área útil. Você gostaria de saber mais detalhes?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output100131.mp3
"Claro, Arthur. A casa possui três quartos, todos eles são suítes, o que proporciona mais privacidade e conforto. Além disso, há três banheiros no total. 

Gostaria de saber mais sobre outras características da casa?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output100205.mp3
"Claro, Arthur. O bairro Jardim Karaíba, em Uberlândia, é conhecido por ser uma área residencial tranquila e bem localizada. Ele oferece uma boa infraestrutura, com fácil acesso a serviços essenciais como supermercados, escolas e farmácias.

Gostaria de saber mais sobre a vizinhança ou sobre a casa em si?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output100233.mp3
"O bairro Jardim Karaíba é uma área residencial muito procurada em Uberlândia. É conhecido por sua tranquilidade e segurança, ideal para famílias. 

Além disso, a vizinhança oferece diversas opções de lazer e conveniência, como parques, academias e restaurantes. 

Há algo específico que você gostaria de saber sobre o bairro?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output100321.mp3
"A casa possui uma área útil de 206 metros quadrados e conta com quatro vagas de estacionamento. 

Há algo mais que você gostaria de saber sobre a casa?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output100410.mp3
"A garagem da casa possui quatro vagas de estacionamento, o que deve ser suficiente para acomodar sua Hilux com conforto. 

Há mais alguma informação que você gostaria de saber sobre a casa?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output100434.mp3
"Olá, Diogo. Meu nome é Lord GPT, e estou ligando da ginga imoveis. Posso compartilhar algumas informações sobre uma casa que pode te interessar?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output100506.mp3
"Obrigado, Diogo. Tenho uma casa interessante para te apresentar. Ela está localizada no bairro Jardim Karaíba, em Uberlândia, na Avenida Vereador Junior de Oliveira.

A casa possui 206 metros quadrados de área útil. Gostaria de saber mais detalhes?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output100527.mp3
"A casa possui um quintal espaçoso, ideal para momentos de lazer e atividades ao ar livre. Além disso, o condomínio oferece diversas opções de lazer, como áreas verdes e espaços para caminhadas.

Gostaria de saber mais sobre alguma outra característica da casa?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output100605.mp3
"O bairro Jardim Karaíba, em Uberlândia, é uma área residencial tranquila e bem localizada. Ele oferece uma boa infraestrutura, com fácil acesso a serviços essenciais como supermercados, escolas e farmácias.

Gostaria de saber mais sobre a casa ou sobre a vizinhança?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output100649.mp3
"A casa possui uma garagem com quatro vagas de estacionamento, oferecendo bastante espaço para acomodar veículos grandes, como uma Hilux.

Há mais alguma informação que você gostaria de saber sobre a casa ou o bairro?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output100731.mp3
"Eu não entendi o que você disse, poderia repetir?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output100801.mp3
"A garagem da casa possui quatro vagas, oferecendo bastante espaço para acomodar veículos grandes, como uma Hilux. 

Há mais alguma informação que você gostaria de saber sobre a casa ou o bairro?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output100827.mp3
"Entendo, Diogo. Se precisar de mais informações no futuro, estarei à disposição para ajudar. Tenha um ótimo dia!",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output100853.mp3
"Obrigado, Arthur. Gostaria de compartilhar uma oportunidade incrível: uma casa nova à venda no Condomínio Dois Irmãos, em Uberlândia. Ela possui 206 metros quadrados de área útil. Você gostaria de saber mais detalhes?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output101058.mp3
"Claro! A casa possui três quartos, todos suítes, oferecendo bastante conforto e privacidade. Você gostaria de saber mais sobre outras características da casa?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output101152.mp3
"O bairro Jardim Karaíba, em Uberlândia, é conhecido por ser uma área residencial tranquila e bem localizada. Ele oferece fácil acesso a serviços essenciais, como supermercados, escolas e áreas de lazer. Você gostaria de saber mais sobre a casa ou o condomínio?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output101215.mp3
"A casa possui um quintal espaçoso, ideal para momentos de lazer e relaxamento. Além disso, o condomínio oferece diversas opções de lazer, como áreas verdes e espaços para atividades ao ar livre. Você gostaria de saber mais sobre alguma outra característica da casa?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output101250.mp3
"Obrigado por me ouvir. Temos uma casa nova à venda no Condomínio Dois Irmãos, em Uberlândia. Ela possui 206 metros quadrados de área útil e três suítes. Isso te interessa?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output101351.mp3
"Perfeito, vamos continuar então. A casa está localizada na Avenida Vereador Junior de Oliveira, no bairro Jardim Karaíba. Ela possui três suítes e quatro vagas de garagem. O que acha até agora?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output101433.mp3
Que bom que gostou! A casa também conta com três banheiros e uma taxa de condomínio de 590 reais. Tem alguma dúvida até agora?,C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output101501.mp3
"Entendi. A casa está à venda por 1.700.000 reais, e o valor é negociável. Gostaria de agendar uma visita para conhecer o imóvel pessoalmente?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output101551.mp3
"Entendi, Arthur. Então, que tal agendarmos para a próxima sexta-feira às 17 horas? Funciona para você?",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output101641.mp3
"Até lá, Arthur. Qualquer dúvida, estou à disposição. Tenha um ótimo dia!",C:/Users/arthu/OneDrive/Desktop/Repo/LLMProject/Audios/output101715.mp3
